證券代號,證券名稱,Date,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1416,廣豐,2021-01-28,375000,4057400,10.80,10.85,10.75,10.80,0.00,171
1417,嘉裕,2021-01-28,304000,3243000,10.60,10.75,10.55,10.55,-0.05,164
1418,東華,2021-01-28,4000,32890,8.13,8.50,8.13,8.50,0.70,3
1419,新紡,2021-01-28,166000,6651800,40.05,41.20,39.65,39.90,-0.60,123
1423,利華,2021-01-28,569000,9439250,17.15,17.45,15.70,16.10,-1.05,246
1432,大魯閣,2021-01-28,258000,3361200,13.25,13.25,12.85,12.90,-0.15,115
1434,福懋,2021-01-28,3932000,114202450,29.10,29.15,28.95,29.10,-0.05,1671
1435,中福,2021-01-28,272000,7552800,27.70,28.15,27.30,27.35,-0.40,187
1436,華友聯,2021-01-28,45000,1678600,37.15,37.80,37.00,37.50,0.00,37
1437,勤益控,2021-01-28,329000,7539150,23.05,23.05,22.75,22.75,-0.30,134
1438,三地開發,2021-01-28,101000,1191650,11.95,11.95,11.65,11.95,0.00,44
1439,中和,2021-01-28,85000,2140400,25.55,25.55,25.00,25.00,-0.60,73
1440,南紡,2021-01-28,6355000,81019300,12.95,13.00,12.50,12.60,-0.35,1546
1441,大東,2021-01-28,104000,738960,7.12,7.14,7.10,7.14,-0.04,50
1442,名軒,2021-01-28,502000,8501800,16.95,17.00,16.90,16.95,-0.15,162
1443,立益,2021-01-28,38000,420100,11.10,11.10,11.00,11.05,-0.15,20
1444,力麗,2021-01-28,12058000,137387850,11.30,11.65,11.15,11.30,0.00,3047
1445,大宇,2021-01-28,2684000,35679850,12.95,13.65,12.50,12.60,-0.35,965
1446,宏和,2021-01-28,93000,2667650,28.60,29.20,28.60,28.65,0.00,58
1447,力鵬,2021-01-28,3660000,28244290,7.78,7.85,7.61,7.64,-0.10,1007
1449,佳和,2021-01-28,227000,5014800,22.50,22.65,21.35,21.85,-0.40,135
1451,年興,2021-01-28,169000,2668000,15.85,15.85,15.65,15.65,-0.30,116
1452,宏益,2021-01-28,177000,2930350,16.55,16.70,16.35,16.35,-0.20,84
1453,大將,2021-01-28,42000,342900,8.21,8.21,8.15,8.15,-0.06,22
1454,台富,2021-01-28,210000,1705550,8.13,8.19,8.10,8.13,0.03,89
1455,集盛,2021-01-28,2260000,20260210,9.18,9.19,8.81,8.87,-0.19,620
1456,怡華,2021-01-28,205000,3214450,15.60,16.20,15.20,15.30,-0.25,145
1457,宜進,2021-01-28,444000,6288250,14.20,14.25,14.10,14.10,-0.05,166
1459,聯發,2021-01-28,237000,1905760,8.04,8.12,7.97,8.00,-0.11,109
1460,宏遠,2021-01-28,1273000,10902360,8.73,8.79,8.44,8.48,-0.27,456
1463,強盛,2021-01-28,229000,2836850,12.25,12.60,12.15,12.50,0.25,71
1464,得力,2021-01-28,380000,6515950,17.15,17.25,17.05,17.10,-0.10,222
1465,偉全,2021-01-28,143000,1771950,12.50,12.50,12.30,12.40,-0.10,67
1466,聚隆,2021-01-28,649000,10706900,16.75,16.75,16.40,16.45,-0.10,347
1467,南緯,2021-01-28,2198000,38930000,17.70,17.95,17.55,17.65,0.00,607
1468,昶和,2021-01-28,88000,1101750,12.50,12.70,12.00,12.60,-0.15,56
1470,大統新創,2021-01-28,3000,52250,17.45,17.45,17.40,17.40,0.00,3
1471,首利,2021-01-28,196000,1032600,5.30,5.30,5.22,5.30,0.00,80
1472,三洋紡,2021-01-28,2000,20050,10.05,10.05,10.00,10.00,-0.30,2
1473,台南,2021-01-28,291000,4964450,17.20,17.20,16.95,17.00,-0.25,183
1474,弘裕,2021-01-28,515000,5982550,11.85,11.85,11.50,11.50,-0.20,192
1475,業旺,2021-01-28,12000,449350,39.90,39.90,37.00,37.60,0.10,10
1476,儒鴻,2021-01-28,754000,306138500,408.00,410.00,404.00,405.50,-4.50,550
1477,聚陽,2021-01-28,979000,185702500,191.00,193.00,187.50,188.00,-2.50,758
1503,士電,2021-01-28,308000,14541400,47.45,47.55,46.80,46.85,-0.75,179
1504,東元,2021-01-28,4151000,112315750,27.15,27.35,26.80,26.80,-0.25,1689
1506,正道,2021-01-28,307000,2986510,9.99,9.99,9.60,9.64,-0.35,166
1507,永大,2021-01-28,194000,10979500,57.10,57.20,56.10,56.20,-1.60,145
1512,瑞利,2021-01-28,31000,140710,4.61,4.61,4.50,4.50,-0.10,10
1513,中興電,2021-01-28,47798000,2347647250,47.00,50.60,46.80,47.90,1.35,21339
1514,亞力,2021-01-28,955000,22744500,23.85,24.10,23.50,23.55,-0.25,527
1515,力山,2021-01-28,5750000,441733200,77.00,79.00,73.60,73.60,-1.10,3474
1516,川飛,2021-01-28,102000,2255700,22.30,22.30,21.90,22.05,-0.15,52
1517,利奇,2021-01-28,771000,9757500,12.75,12.85,12.50,12.55,-0.05,325
1519,華城,2021-01-28,2499000,109540650,42.90,44.75,42.85,42.85,0.10,1690
1521,大億,2021-01-28,25000,1324600,53.50,53.50,52.80,52.90,-0.30,22
1522,堤維西,2021-01-28,962000,22333850,23.85,23.85,22.90,22.90,-0.75,609
1524,耿鼎,2021-01-28,1639000,17929650,11.20,11.40,10.70,10.75,-0.35,689
1525,江申,2021-01-28,227000,15244000,69.60,69.60,66.10,66.40,-1.60,168
1526,日馳,2021-01-28,693000,28073600,41.40,41.50,39.95,40.05,-1.20,441
1527,鑽全,2021-01-28,703000,29967800,43.50,43.70,42.00,42.05,-1.35,463
